rs,gene_id,gene_name,trait
Scaffold_2__1_contigs__length_114774641.68475368,ENSTGUG00000011487,ATP8A2,beak_depth
Scaffold_19__1_contigs__length_21238924.13416638,ENSTGUG00000007389,ensembl,beak_depth
Scaffold_1__1_contigs__length_151072562.37796964,ENSTGUG00000000254,CYP8B1,beak_depth
Scaffold_1__1_contigs__length_151072562.110665475,ENSTGUG00000006667,SLC66A2,beak_depth
Scaffold_1__1_contigs__length_151072562.39837818,ENSTGUG00000000374,ensembl,culmen_end_length
Scaffold_1__1_contigs__length_151072562.57781639,ENSTGUG00000001333,ITGA8,culmen_end_length
Scaffold_2__1_contigs__length_114774641.85189033,ENSTGUG00000010196,INPP4A,GCRF_bill_PC
Scaffold_23__1_contigs__length_18116493.1385210,ENSTGUG00000000148,ensembl,GCRF_bill_PC
Scaffold_23__1_contigs__length_18116493.2449928,ENSTGUG00000000288,UBTD2,GCRF_bill_PC
Scaffold_1__1_contigs__length_151072562.54132477,ENSTGUG00000001172,KIAA1217,GCRF_bill_PC
Scaffold_1__1_contigs__length_151072562.138869993,ENSTGUG00000009758,APCDD1,GCRF_bill_PC
Scaffold_5__1_contigs__length_71959612.14244530,ENSTGUG00000009822,CPEB2,GCRF_bill_PC
Scaffold_7__1_contigs__length_62267870.31872111,ENSTGUG00000011762,ensembl,GCRF_bill_PC
Scaffold_2__1_contigs__length_114774641.80634326,ENSTGUG00000010798,ensembl,GCRF_feather_PC
Scaffold_21__1_contigs__length_20640149.131805,ENSTGUG00000010220,PDIA3,GCRF_feather_PC
Scaffold_3__1_contigs__length_112408489.112330666,ENSTGUG00000002140,ensembl,GCRF_feather_PC
Scaffold_5__1_contigs__length_71959612.65589803,ENSTGUG00000001929,QRFPR,GCRF_feather_PC
Scaffold_2__1_contigs__length_114774641.85215792,ENSTGUG00000010191,COA5,nare_length
Scaffold_21__1_contigs__length_20640149.19996029,ENSTGUG00000003485,ensembl,nare_length
Scaffold_23__1_contigs__length_18116493.17238783,ENSTGUG00000001700,PCDHAC2,nare_length
Scaffold_1__1_contigs__length_151072562.88279550,ENSTGUG00000002953,JAZF1,nare_length
Scaffold_7__1_contigs__length_62267870.22715604,ENSTGUG00000010627,HARBI1,nare_length
Scaffold_16__1_contigs__length_31385163.10262213,ENSTGUG00000008012,UBR3,nare_length
Scaffold_1__1_contigs__length_151072562.95671951,ENSTGUG00000003632,ensembl,pen_length
Scaffold_3__1_contigs__length_112408489.19386013,ENSTGUG00000012928,ensembl,pen_length
Scaffold_5__1_contigs__length_71959612.37338641,ENSTGUG00000006219,AADAT,pen_length
Scaffold_2__1_contigs__length_114774641.66594799,ENSTGUG00000011690,KATNAL1,plum_num
Scaffold_2__1_contigs__length_114774641.29284537,ENSTGUG00000013052,CAPN5,plum_num
Scaffold_23__1_contigs__length_18116493.6233851,ENSTGUG00000000718,ensembl,plum_num
Scaffold_1__1_contigs__length_151072562.56742347,ENSTGUG00000001263,ensembl,plum_num
Scaffold_1__1_contigs__length_151072562.57014835,ENSTGUG00000001292,ensembl,plum_num
Scaffold_1__1_contigs__length_151072562.123443491,ENSTGUG00000007999,FHOD3,plum_num
Scaffold_3__1_contigs__length_112408489.64413221,ENSTGUG00000010743,ensembl,plum_num
Scaffold_5__1_contigs__length_71959612.32645017,ENSTGUG00000006536,DCTD,plum_num
Scaffold_5__1_contigs__length_71959612.9436839,ENSTGUG00000010318,ensembl,plum_num
Scaffold_7__1_contigs__length_62267870.1308038,ENSTGUG00000004608,GAS2,plum_num
Scaffold_7__1_contigs__length_62267870.11737387,ENSTGUG00000008555,C11orf58,plum_num
Scaffold_7__1_contigs__length_62267870.25567355,ENSTGUG00000011160,TTBK2,plum_num
Scaffold_7__1_contigs__length_62267870.31092659,ENSTGUG00000011747,ensembl,plum_num
Scaffold_16__1_contigs__length_31385163.23086851,ENSTGUG00000017852,7SK,plum_num
Scaffold_17__1_contigs__length_31071440.20584444,ENSTGUG00000005495,DPYD,plum_num
Scaffold_17__1_contigs__length_31071440.8264024,ENSTGUG00000008610,FAF1,plum_num
Scaffold_18__1_contigs__length_25274884.23065059,ENSTGUG00000005663,ensembl,plum_num
