rs	gene_id	gene_name
1	Scaffold_2__1_contigs__length_114774641.66594799	ENSTGUG00000011690	KATNAL1
2	Scaffold_2__1_contigs__length_114774641.29284537	ENSTGUG00000013052	CAPN5
3	Scaffold_23__1_contigs__length_18116493.6233851	ENSTGUG00000000718	ensembl
4	Scaffold_1__1_contigs__length_151072562.56742347	ENSTGUG00000001263	ensembl
5	Scaffold_1__1_contigs__length_151072562.57014835	ENSTGUG00000001292	ensembl
6	Scaffold_1__1_contigs__length_151072562.123443491	ENSTGUG00000007999	FHOD3
7	Scaffold_3__1_contigs__length_112408489.64413221	ENSTGUG00000010743	ensembl
8	Scaffold_5__1_contigs__length_71959612.32645017	ENSTGUG00000006536	DCTD
9	Scaffold_5__1_contigs__length_71959612.9436839	ENSTGUG00000010318	ensembl
10	Scaffold_7__1_contigs__length_62267870.1308038	ENSTGUG00000004608	GAS2
11	Scaffold_7__1_contigs__length_62267870.11737387	ENSTGUG00000008555	C11orf58
12	Scaffold_7__1_contigs__length_62267870.25567355	ENSTGUG00000011160	TTBK2
13	Scaffold_7__1_contigs__length_62267870.31092659	ENSTGUG00000011747	ensembl
14	Scaffold_16__1_contigs__length_31385163.23086851	ENSTGUG00000017852	7SK
15	Scaffold_17__1_contigs__length_31071440.20584444	ENSTGUG00000005495	DPYD
16	Scaffold_17__1_contigs__length_31071440.8264024	ENSTGUG00000008610	FAF1
17	Scaffold_18__1_contigs__length_25274884.23065059	ENSTGUG00000005663	ensembl
