id	chrom	len	cumlen
scaffold_group001	Scaffold_9__1_contigs__length_6533178	6533178	702297999
scaffold_group001	Scaffold_10__1_contigs__length_4747999	4747999	707045998
scaffold_group001	Scaffold_11__1_contigs__length_4700999	4700999	711746997
scaffold_group001	Scaffold_12__1_contigs__length_2025999	2025999	713772996
scaffold_group001	Scaffold_13__1_contigs__length_2412999	2412999	716185995
scaffold_group001	Scaffold_14__1_contigs__length_5954999	5954999	722140994
scaffold_group001	Scaffold_15__1_contigs__length_6553978	6553978	728694972
scaffold_group001	Scaffold_18__1_contigs__length_25274884	25274885	816426462
scaffold_group001	Scaffold_19__1_contigs__length_21238924	21238925	837665387
scaffold_group001	Scaffold_20__1_contigs__length_20685320	20685321	858350708
scaffold_group001	Scaffold_21__1_contigs__length_20640149	20640150	878990858
scaffold_group001	Scaffold_22__1_contigs__length_19532606	19532607	898523465
scaffold_group001	Scaffold_23__1_contigs__length_18116493	18116494	916639959
scaffold_group001	Scaffold_24__1_contigs__length_16295608	16295609	932935568
scaffold_group001	Scaffold_25__1_contigs__length_14943599	14943600	947879168
scaffold_group001	Scaffold_26__1_contigs__length_14031782	14031783	961910951
scaffold_group001	Scaffold_27__1_contigs__length_12364714	12364715	974275666
scaffold_group001	Scaffold_28__1_contigs__length_11240829	11240830	985516496
scaffold_group001	Scaffold_29__1_contigs__length_11217357	11217358	996733854
scaffold_group001	Scaffold_30__1_contigs__length_7941326	7941327	1004675181
scaffold_group001	Scaffold_31__1_contigs__length_7482407	7482408	1012157589
scaffold_group001	Scaffold_32__1_contigs__length_5435730	5435731	1017593320
scaffold_group001	Scaffold_33__1_contigs__length_1068436	1068437	1018661757
scaffold_group001	Scaffold_34__1_contigs__length_540211	540212	1019201969
scaffold_group001	Scaffold_35__1_contigs__length_473747	473748	1019675717
scaffold_group001	Scaffold_36__1_contigs__length_328236	328237	1020003954
scaffold_group001	Scaffold_37__1_contigs__length_122108	122109	1020126063
scaffold_group001	Scaffold_38__1_contigs__length_88005	88006	1020214069
scaffold_group001	Scaffold_39__1_contigs__length_82342	82343	1020296412
scaffold_group001	Scaffold_40__1_contigs__length_80182	80183	1020376595
scaffold_group002	Scaffold_41__1_contigs__length_72752	72753	1020449348
scaffold_group002	Scaffold_42__1_contigs__length_72702	72703	1020522051
scaffold_group002	Scaffold_43__1_contigs__length_72670	72671	1020594722
scaffold_group002	Scaffold_44__1_contigs__length_69604	69605	1020664327
scaffold_group002	Scaffold_45__1_contigs__length_65579	65580	1020729907
scaffold_group002	Scaffold_46__1_contigs__length_59806	59807	1020789714
scaffold_group002	Scaffold_47__1_contigs__length_49459	49460	1020839174
