rs,model,trait,gene_name,gene_id,overlap
Scaffold_1__1_contigs__length_151072562.108192624,bslmm,GCRF_bill_PC,NA,NA,
Scaffold_1__1_contigs__length_151072562.110665475,bslmm,beak_depth,SLC66A2,ENSTGUG00000006667,same gene family
Scaffold_1__1_contigs__length_151072562.113831504,bslmm,plum_num,NA,NA,
Scaffold_1__1_contigs__length_151072562.123443491,bslmm,plum_num,FHOD3,ENSTGUG00000007999,
Scaffold_1__1_contigs__length_151072562.128626182,bslmm,GCRF_feather_PC,NA,NA,
Scaffold_1__1_contigs__length_151072562.138869993,bslmm,GCRF_bill_PC,APCDD1,ENSTGUG00000009758,
Scaffold_1__1_contigs__length_151072562.13973004,bslmm,plum_num,NA,NA,
Scaffold_1__1_contigs__length_151072562.146593939,bslmm,GCRF_feather_PC,NA,NA,
Scaffold_1__1_contigs__length_151072562.149407156,bslmm,pen_length,NA,NA,
Scaffold_1__1_contigs__length_151072562.149407156,lmm,pen_length,NA,NA,
Scaffold_1__1_contigs__length_151072562.20410208,bslmm,pen_length,NA,NA,
Scaffold_1__1_contigs__length_151072562.25014581,bslmm,plum_num,NA,NA,
Scaffold_1__1_contigs__length_151072562.37796964,bslmm,beak_depth,CYP8B1,ENSTGUG00000000254,
Scaffold_1__1_contigs__length_151072562.39837818,bslmm,culmen_end_length,ensembl,ENSTGUG00000000374,
Scaffold_1__1_contigs__length_151072562.39837818,lmm,culmen_end_length,ensembl,ENSTGUG00000000374,
Scaffold_1__1_contigs__length_151072562.54132477,bslmm,GCRF_bill_PC,KIAA1217,ENSTGUG00000001172,
Scaffold_1__1_contigs__length_151072562.54132477,bslmm,GCRF_bill_PC,KIAA1217,ENSTGUG00000001172,
Scaffold_1__1_contigs__length_151072562.54132477,lmm,GCRF_bill_PC,KIAA1217,ENSTGUG00000001172,
Scaffold_1__1_contigs__length_151072562.54132477,lmm,GCRF_bill_PC,KIAA1217,ENSTGUG00000001172,
Scaffold_1__1_contigs__length_151072562.56742347,bslmm,plum_num,ensembl,ENSTGUG00000001263,
Scaffold_1__1_contigs__length_151072562.57014835,bslmm,plum_num,ensembl,ENSTGUG00000001292,
Scaffold_1__1_contigs__length_151072562.57781639,bslmm,culmen_end_length,ITGA8,ENSTGUG00000001333,
Scaffold_1__1_contigs__length_151072562.5862329,bslmm,plum_num,NA,NA,
Scaffold_1__1_contigs__length_151072562.72942140,bslmm,plum_num,NA,NA,
Scaffold_1__1_contigs__length_151072562.88279550,bslmm,nare_length,JAZF1,ENSTGUG00000002953,
Scaffold_1__1_contigs__length_151072562.88313335,bslmm,pen_length,NA,NA,
Scaffold_1__1_contigs__length_151072562.95671951,lmm,pen_length,ensembl,ENSTGUG00000003632,
Scaffold_1__1_contigs__length_151072562.95671951,lmm,pen_length,ensembl,ENSTGUG00000003632,
Scaffold_16__1_contigs__length_31385163.10262213,bslmm,nare_length,UBR3,ENSTGUG00000008012,
Scaffold_16__1_contigs__length_31385163.23086851,bslmm,plum_num,7SK,ENSTGUG00000017852,
Scaffold_16__1_contigs__length_31385163.26471502,bslmm,beak_width,NA,NA,
Scaffold_17__1_contigs__length_31071440.20584444,bslmm,plum_num,DPYD,ENSTGUG00000005495,
Scaffold_17__1_contigs__length_31071440.22886518,bslmm,plum_num,NA,NA,
Scaffold_17__1_contigs__length_31071440.8264024,bslmm,plum_num,FAF1,ENSTGUG00000008610,
Scaffold_18__1_contigs__length_25274884.23065059,bslmm,plum_num,ensembl,ENSTGUG00000005663,
Scaffold_19__1_contigs__length_21238924.13416638,bslmm,beak_depth,ensembl,ENSTGUG00000007389,
